Algorithm,n,Comparisons,SwapsOrMoves,Time(ms),C
Merge,500,3871,8976,0.000000,0.863505
Quick,500,5361,3473,0.000000,1.195880
Heap,500,7428,4038,0.000000,1.656966
Merge,750,6225,14452,0.000000,0.869042
Quick,750,7528,4203,0.000000,1.050947
Heap,750,12038,6517,0.000000,1.680567
Merge,1000,8717,19952,0.000000,0.874693
Quick,1000,12271,6985,1.000000,1.231313
Heap,1000,16813,9051,0.000000,1.687072
Merge,2500,25145,56808,0.000000,0.891057
Quick,2500,32410,16633,1.000000,1.148506
Heap,2500,48786,26009,1.000000,1.728818
Merge,5000,55199,123616,0.000000,0.898442
Quick,5000,68790,35043,1.000000,1.119655
Heap,5000,107680,57088,1.000000,1.752645
Merge,7500,87136,193616,3.000000,0.902542
Quick,7500,103643,58323,0.000000,1.073519
Heap,7500,170173,90013,2.000000,1.762628
Merge,10000,120412,267232,2.000000,0.906191
Quick,10000,163114,85082,1.000000,1.227555
Heap,10000,235400,124250,1.000000,1.771562
Merge,12000,147628,327232,3.000000,0.907871
Quick,12000,194727,108660,2.000000,1.197517
Heap,12000,288940,152207,2.000000,1.776901
Merge,15000,189173,417232,4.000000,0.909092
Quick,15000,248679,140013,2.000000,1.195054
Heap,15000,370266,194874,2.000000,1.779354
Merge,18000,231998,510464,4.000000,0.911789
Quick,18000,306785,172968,3.000000,1.205713
Heap,18000,453724,238619,2.000000,1.783207
Merge,25000,334070,734464,6.000000,0.914656
Quick,25000,442569,219569,3.000000,1.211718
Heap,25000,654862,343791,5.000000,1.792959
Merge,29000,393592,862464,7.000000,0.915566
Quick,29000,500113,281208,4.000000,1.163353
Heap,29000,771429,404636,6.000000,1.794483
Merge,34000,469036,1024928,9.000000,0.916425
Quick,34000,591561,325996,4.000000,1.155821
Heap,34000,918892,481602,6.000000,1.795376
